doc_id,Name,org,source_type,date,language,card_text,topic_seed,stakeholder_type,label_source,near_dup_cluster,duplicate_of
fix_pub_001,Brief fix_pub_001,Org for fix_pub_001,hesa_brief,2023-01-01,en,This brief is about public_health policy in Canada.,public_health,physician_org,weak,,
fix_pub_002,Brief fix_pub_002,Org for fix_pub_002,hesa_brief,2023-01-01,en,This brief is about public_health policy in Canada.,public_health,physician_org,weak,,
fix_pub_003,Brief fix_pub_003,Org for fix_pub_003,hesa_brief,2023-01-01,en,This brief is about public_health policy in Canada.,public_health,physician_org,weak,,
fix_pub_004,Brief fix_pub_004,Org for fix_pub_004,hesa_brief,2023-01-01,en,This brief is about public_health policy in Canada.,public_health,physician_org,weak,,
fix_pub_005,Brief fix_pub_005,Org for fix_pub_005,hesa_brief,2023-01-01,en,This brief is about public_health policy in Canada.,public_health,physician_org,weak,,
fix_pub_006,Brief fix_pub_006,Org for fix_pub_006,hesa_brief,2023-01-01,en,This brief is about public_health policy in Canada.,public_health,physician_org,weak,,
fix_pub_007,Brief fix_pub_007,Org for fix_pub_007,hesa_brief,2023-01-01,en,This brief is about public_health policy in Canada.,public_health,physician_org,weak,,
fix_pub_008,Brief fix_pub_008,Org for fix_pub_008,hesa_brief,2023-01-01,en,This brief is about public_health policy in Canada.,public_health,physician_org,weak,ndc_001,
fix_pub_009,Brief fix_pub_009,Org for fix_pub_009,hesa_brief,2023-01-01,en,This brief is about public_health policy in Canada.,public_health,physician_org,weak,ndc_001,
fix_pub_010,Brief fix_pub_010,Org for fix_pub_010,hesa_brief,2023-01-01,en,This brief is about public_health policy in Canada.,public_health,physician_org,weak,ndc_001,
fix_pha_001,Brief fix_pha_001,Org for fix_pha_001,hesa_brief,2023-01-01,en,This brief is about pharmacare policy in Canada.,pharmacare,physician_org,weak,,
fix_pha_002,Brief fix_pha_002,Org for fix_pha_002,hesa_brief,2023-01-01,en,This brief is about pharmacare policy in Canada.,pharmacare,physician_org,weak,,
fix_pha_003,Brief fix_pha_003,Org for fix_pha_003,hesa_brief,2023-01-01,en,This brief is about pharmacare policy in Canada.,pharmacare,physician_org,weak,,
fix_pha_004,Brief fix_pha_004,Org for fix_pha_004,hesa_brief,2023-01-01,en,This brief is about pharmacare policy in Canada.,pharmacare,physician_org,weak,,
fix_pha_005,Brief fix_pha_005,Org for fix_pha_005,hesa_brief,2023-01-01,en,This brief is about pharmacare policy in Canada.,pharmacare,physician_org,weak,,
fix_pha_006,Brief fix_pha_006,Org for fix_pha_006,hesa_brief,2023-01-01,en,This brief is about pharmacare policy in Canada.,pharmacare,physician_org,weak,,
