org,stakeholder_type
Canadian Cancer Society,patient_advocacy
Canadian Chiropractic Association,physician_org
Canadian Association of Occupational Therapists,physician_org
Canadian Association of Radiologists,physician_org
Heart and Stroke Foundation of Canada,patient_advocacy
Canadian Physiotherapy Association,physician_org
Canadian Centre on Substance Use and Addiction,academic
Canadian Forum for Rare Disease Innovators,patient_advocacy
Neighbourhood Pharmacy Association of Canada,industry
Best Medicines Coalition,patient_advocacy
Canadian Dental Association,physician_org
Canadian Labour Congress,patient_advocacy
Advocacy for Canadian Childhood Oncology Research Network,patient_advocacy
The Society of Gynecologic Oncology of Canada,physician_org
Direction régionale de santé publique de Montréal / Toronto Public Health / Vancouver Coastal Health,government
Solutions for Kids in Pain,patient_advocacy
Canada Fetal Alcohol Spectrum Disorder Research Network,academic
Association pour la santé publique du Québec,government
Canadian Medical Association,physician_org
Action Canada for Sexual Health and Rights,patient_advocacy
Canadian Association of Social Workers,patient_advocacy
Canadian Federation of Nurses Unions,physician_org
BGC Canada,patient_advocacy
Northern Birthwork Collective,patient_advocacy
BIOTECanada,industry
Life Sciences Ontario,industry
Canadian Generic Pharmaceutical Association,industry
Canadian Life and Health Insurance Association,industry
Novo Nordisk Canada,industry
Canadian Organization for Rare Disorders,patient_advocacy
MS Canada,patient_advocacy
Innovative Medicines Canada,industry
Canadian Chamber of Commerce,industry
Canadian Dental Assistants' Association,physician_org
Canadian Dental Hygienists Association,physician_org
Pharmascience,industry
HealthCareCAN,industry
Canadian Association for Pharmacy Distribution Management,industry
Doctors Without Borders,patient_advocacy
World Animal Protection,patient_advocacy
Canadian Ophthalmological Society,physician_org
BioCanRx,academic
Society of Rural Physicians of Canada,physician_org
Mental Health Commission of Canada,government
Families for Addiction Recovery,patient_advocacy
Canadian Society of Addiction Medicine,physician_org
The Students Commission of Canada,patient_advocacy
First Nations Health Authority,government
Children's Healthcare Canada,patient_advocacy
Anonymous Author,individual
Moms Stop the Harm,patient_advocacy
Ottawa Inner City Health,government
Ontario Drug Policy Research Network,academic
Indigenous Chiropractic Caucus,physician_org
Native Women's Shelter of Montreal,patient_advocacy
British Columbia Centre on Substance Use,academic
Eastside Illicit Drinkers Group for Education,patient_advocacy
